Observation,anchoring_item,true_value,anchor,anchorhigh,estimate
1,Price of an average new car (USD),17157,100000,1,15000
2,Price of an average new car (USD),17157,1000,0,34000
3,Price of an average new car (USD),17157,1000,0,25000
4,Price of an average new car (USD),17157,100000,1,12000
5,Price of an average new car (USD),17157,100000,1,28000
6,Price of an average new car (USD),17157,1000,0,20000
7,Price of an average new car (USD),17157,100000,1,30000
8,Price of an average new car (USD),17157,1000,0,3000
9,Price of an average new car (USD),17157,1000,0,15000
10,Price of an average new car (USD),17157,1000,0,30000
11,Price of an average new car (USD),17157,1000,0,25000
12,Price of an average new car (USD),17157,100000,1,20000
13,Price of an average new car (USD),17157,1000,0,20000
14,Price of an average new car (USD),17157,1000,0,12500
15,Price of an average new car (USD),17157,1000,0,28000
16,Price of an average new car (USD),17157,1000,0,20000
17,Price of an average new car (USD),17157,100000,1,15000
18,Price of an average new car (USD),17157,100000,1,26000
19,Price of an average new car (USD),17157,100000,1,120000
20,Price of an average new car (USD),17157,1000,0,10000
21,Price of an average new car (USD),17157,100000,1,5000
22,Price of an average new car (USD),17157,1000,0,28000
23,Price of an average new car (USD),17157,100000,1,20000
24,Price of an average new car (USD),17157,100000,1,40000
25,Price of an average new car (USD),17157,100000,1,14000
26,Price of an average new car (USD),17157,1000,0,27000
27,Price of an average new car (USD),17157,100000,1,15000
28,Price of an average new car (USD),17157,1000,0,10000
29,Price of an average new car (USD),17157,100000,1,30000
30,Price of an average new car (USD),17157,100000,1,25000
31,Price of an average new car (USD),17157,100000,1,20000
32,Price of an average new car (USD),17157,100000,1,10000
33,Price of an average new car (USD),17157,100000,1,14000
34,Price of an average new car (USD),17157,1000,0,20000
35,Price of an average new car (USD),17157,1000,0,20000
36,Price of an average new car (USD),17157,1000,0,17000
37,Price of an average new car (USD),17157,1000,0,16000
38,Price of an average new car (USD),17157,100000,1,80000
39,Price of an average new car (USD),17157,100000,1,20000
40,Price of an average new car (USD),17157,1000,0,10000
41,Price of an average new car (USD),17157,1000,0,15000
42,Price of an average new car (USD),17157,1000,0,12000
43,Price of an average new car (USD),17157,1000,0,15000
44,Price of an average new car (USD),17157,1000,0,20000
45,Price of an average new car (USD),17157,100000,1,10000
46,Price of an average new car (USD),17157,1000,0,22000
47,Price of an average new car (USD),17157,100000,1,22000
48,Price of an average new car (USD),17157,100000,1,20000
49,Price of an average new car (USD),17157,1000,0,17000
50,Price of an average new car (USD),17157,1000,0,14500
51,Price of an average new car (USD),17157,100000,1,20000
52,Price of an average new car (USD),17157,100000,1,25000
53,Price of an average new car (USD),17157,1000,0,25000
54,Price of an average new car (USD),17157,1000,0,16000
55,Price of an average new car (USD),17157,100000,1,8000
56,Price of an average new car (USD),17157,1000,0,25000
57,Price of an average new car (USD),17157,100000,1,35000
58,Price of an average new car (USD),17157,100000,1,20000
59,Price of an average new car (USD),17157,100000,1,19000
60,Price of an average new car (USD),17157,1000,0,25000
61,Price of an average new car (USD),17157,1000,0,20000
62,Price of an average new car (USD),17157,100000,1,12000
63,Price of an average new car (USD),17157,1000,0,17000
64,Price of an average new car (USD),17157,1000,0,10000
65,Price of an average new car (USD),17157,100000,1,24000
66,Price of an average new car (USD),17157,1000,0,20000
67,Price of an average new car (USD),17157,100000,1,49999
68,Price of an average new car (USD),17157,100000,1,25000
69,Price of an average new car (USD),17157,1000,0,19000
70,Price of an average new car (USD),17157,100000,1,23000
71,Price of an average new car (USD),17157,100000,1,12000
72,Price of an average new car (USD),17157,100000,1,20000
73,Price of an average new car (USD),17157,1000,0,18000
74,Price of an average new car (USD),17157,1000,0,13000
75,Price of an average new car (USD),17157,1000,0,25000
76,Price of an average new car (USD),17157,1000,0,1500
77,Price of an average new car (USD),17157,100000,1,20000
78,Price of an average new car (USD),17157,100000,1,25000
79,Price of an average new car (USD),17157,1000,0,22000
80,Price of an average new car (USD),17157,100000,1,18000
81,Price of an average new car (USD),17157,1000,0,16000
82,Price of an average new car (USD),17157,1000,0,8000
83,Price of an average new car (USD),17157,100000,1,20000
84,Price of an average new car (USD),17157,1000,0,18000
85,Price of an average new car (USD),17157,1000,0,10000
86,Price of an average new car (USD),17157,1000,0,17000
87,Price of an average new car (USD),17157,1000,0,15000
88,Price of an average new car (USD),17157,1000,0,25000
89,Price of an average new car (USD),17157,1000,0,20000
90,Price of an average new car (USD),17157,1000,0,10000
91,Price of an average new car (USD),17157,1000,0,6453
92,Price of an average new car (USD),17157,1000,0,12000
93,Price of an average new car (USD),17157,100000,1,60000
94,Price of an average new car (USD),17157,1000,0,20000
95,Price of an average new car (USD),17157,100000,1,4000
96,Price of an average new car (USD),17157,1000,0,18000
97,Price of an average new car (USD),17157,100000,1,12000
98,Price of an average new car (USD),17157,100000,1,25000
99,Price of an average new car (USD),17157,1000,0,20000
100,Price of an average new car (USD),17157,100000,1,25000
101,Price of an average new car (USD),17157,1000,0,16000
102,Price of an average new car (USD),17157,100000,1,20000
103,Price of an average new car (USD),17157,100000,1,20000
104,Price of an average new car (USD),17157,1000,0,20000
105,Price of an average new car (USD),17157,100000,1,16000
106,Price of an average new car (USD),17157,1000,0,20000
107,Price of an average new car (USD),17157,1000,0,10000
108,Price of an average new car (USD),17157,1000,0,15000
109,Price of an average new car (USD),17157,1000,0,15000
110,Price of an average new car (USD),17157,1000,0,15000
111,Price of an average new car (USD),17157,1000,0,25000
112,Price of an average new car (USD),17157,1000,0,16000
113,Price of an average new car (USD),17157,1000,0,14000
114,Price of an average new car (USD),17157,100000,1,10000
115,Price of an average new car (USD),17157,1000,0,15000
116,Price of an average new car (USD),17157,1000,0,15000
117,Price of an average new car (USD),17157,100000,1,20000
118,Price of an average new car (USD),17157,100000,1,24000
119,Price of an average new car (USD),17157,100000,1,20000
120,Price of an average new car (USD),17157,100000,1,25000
121,Price of an average new car (USD),17157,1000,0,25000
122,Price of an average new car (USD),17157,100000,1,35000
123,Price of an average new car (USD),17157,100000,1,17000
124,Price of an average new car (USD),17157,1000,0,14000
125,Price of an average new car (USD),17157,100000,1,16000
126,Price of an average new car (USD),17157,100000,1,15000
127,Price of an average new car (USD),17157,100000,1,20000
128,Price of an average new car (USD),17157,1000,0,20000
129,Price of an average new car (USD),17157,100000,1,19000
130,Price of an average new car (USD),17157,1000,0,18000
131,Price of an average new car (USD),17157,1000,0,16000
132,Price of an average new car (USD),17157,1000,0,40000
133,Price of an average new car (USD),17157,1000,0,16000
134,Price of an average new car (USD),17157,100000,1,20000
135,Price of an average new car (USD),17157,100000,1,18000
136,Price of an average new car (USD),17157,100000,1,20000
137,Price of an average new car (USD),17157,1000,0,10000
138,Price of an average new car (USD),17157,100000,1,10000
139,Price of an average new car (USD),17157,100000,1,20000
140,Price of an average new car (USD),17157,1000,0,3500
141,Price of an average new car (USD),17157,1000,0,18000
142,Price of an average new car (USD),17157,100000,1,20000
143,Price of an average new car (USD),17157,100000,1,20000
144,Price of an average new car (USD),17157,1000,0,30000
145,Price of an average new car (USD),17157,1000,0,25000
146,Price of an average new car (USD),17157,1000,0,16000
147,Price of an average new car (USD),17157,100000,1,20000
148,Price of an average new car (USD),17157,100000,1,20000
149,Price of an average new car (USD),17157,1000,0,12000
150,Price of an average new car (USD),17157,1000,0,15000
151,Price of an average new car (USD),17157,100000,1,20000
152,Price of an average new car (USD),17157,100000,1,25000
153,Price of an average new car (USD),17157,1000,0,20000
154,Price of an average new car (USD),17157,100000,1,24000
155,Price of an average new car (USD),17157,1000,0,20000
156,Price of an average new car (USD),17157,100000,1,27000
157,Price of an average new car (USD),17157,100000,1,20000
158,Price of an average new car (USD),17157,100000,1,42000
159,Price of an average new car (USD),17157,1000,0,15000
160,Price of an average new car (USD),17157,100000,1,27000
161,Price of an average new car (USD),17157,1000,0,17000
162,Price of an average new car (USD),17157,100000,1,18000
163,Price of an average new car (USD),17157,1000,0,20000
164,Price of an average new car (USD),17157,1000,0,18000
165,Price of an average new car (USD),17157,1000,0,21000
166,Price of an average new car (USD),17157,100000,1,20000
167,Price of an average new car (USD),17157,1000,0,18000
168,Price of an average new car (USD),17157,100000,1,16000
169,Price of an average new car (USD),17157,1000,0,15000
170,Price of an average new car (USD),17157,100000,1,24000
171,Price of an average new car (USD),17157,1000,0,20000
172,Price of an average new car (USD),17157,1000,0,25000
173,Price of an average new car (USD),17157,100000,1,18000
174,Price of an average new car (USD),17157,1000,0,20000
175,Price of an average new car (USD),17157,1000,0,20000
176,Price of an average new car (USD),17157,100000,1,20000
177,Price of an average new car (USD),17157,100000,1,55000
178,Price of an average new car (USD),17157,1000,0,17500
179,Price of an average new car (USD),17157,100000,1,25000
180,Price of an average new car (USD),17157,100000,1,15000
181,Price of an average new car (USD),17157,1000,0,14000
182,Price of an average new car (USD),17157,1000,0,18000
183,Price of an average new car (USD),17157,100000,1,20000
184,Price of an average new car (USD),17157,100000,1,20000
185,Price of an average new car (USD),17157,100000,1,18000
186,Price of an average new car (USD),17157,100000,1,28000
187,Price of an average new car (USD),17157,1000,0,17000
188,Price of an average new car (USD),17157,1000,0,10000
189,Price of an average new car (USD),17157,1000,0,30000
190,Price of an average new car (USD),17157,100000,1,20000
